,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15
pca,0.3062,0.1039,0.0,0.0,0.0,0.6024,0.0,0.0426,0.2257,0.4021,0.3616,0.3717,0.0403,0.3057,0.0
0.3e0.05c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
