,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15
pca,0.572,1.3818,1.3866,0.5568,1.7063,0.7444,46.0823,0.848,1.0096,1.1486,0.451,0.6306,0.5067,0.388,1.9817
0.3e0.05c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
