,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15
0.2,13455.489269900005,100.5007684000011,47.21485260000918,2.2704706999938935,14.231578799997806,14982.764707399998,4.476257300004363,128.24194979999447,31.886076499999035,179.8993635000079,28.787767700006953,61.74565050000092,32.80408279999392,13.051218599983258,35.915534800005844
0.25,9123.6326185,67.38748060000944,32.083384300000034,1.5515786999894772,9.582749199995305,10498.39020899999,2.990638499992201,86.26223769999342,21.315138900012244,120.29993359997752,19.322051199997077,41.48534149999614,22.12207280000439,8.847114000003785,24.26677539999946
0.3,6837.012492299997,49.60501759999897,23.1424268999981,1.1627236000058474,6.959613699989859,7846.605647599994,2.16624839999713,63.269264100003056,15.984027699974831,89.0256773000001,14.222770000022138,30.441765600000508,16.2659959999728,6.487524399999529,17.700636000023223
0.35,5601.714815200001,38.51324919999752,18.431306600003154,0.8652591999998549,5.438775400005397,6339.4226815,1.6626003999845125,49.3463942000235,12.417125499981921,69.43707860002178,11.425605099997483,24.27808850002475,12.704818699974567,4.997812500019791,13.98231210000813
0.4,4330.784843500005,31.413432700006524,14.7829356000002,0.7130018000025302,4.361366900004214,5290.8908627000055,1.3213579000148457,39.88882980000926,10.02661739999894,58.76626549998764,9.137461299978895,19.550789900007658,10.164891799999168,4.162821400008397,11.44245640002191
0.45,3564.4875699000113,26.496125200006645,12.35519979998935,0.5806404000031762,3.6776992000086466,4589.651646099985,1.0988257999997586,33.7006256999739,8.43299410000327,49.21480999997584,7.801048299996182,16.694725500012282,8.662731200020062,3.491340799984755,9.533051799982786
0.5,3177.6599635999883,22.806400600005873,10.792966600012733,0.5288214999891352,3.153889799999888,3906.3593800999806,0.9294379999919329,29.062729400000535,7.367198299994925,41.51416170000448,6.85079319999204,14.83375829999568,7.299453900021035,3.0275362000102177,8.237408999993932
0.55,2760.758570399994,20.116265999997267,9.51740900000732,0.45803589999559335,2.76535220000369,3505.4871771000035,0.8126533000031486,25.676575599994976,6.39013139999588,36.240932100015925,5.92186479998054,13.103721799998311,6.5978536999900825,2.6624394999817014,7.149669799982803
0.6,2511.0098418999987,18.041897100003553,8.633508300001267,0.4002366000058828,2.473824600005173,3253.148676699988,0.7288150999811478,23.088733400014462,5.946620500006247,32.688279100024374,5.43510430000606,11.588088999997126,6.237053200020455,2.4129590000084136,6.40168189999531
0.65,2298.5114436000003,16.467327300008037,7.878922799995053,0.36773929999617394,2.233660099998815,2964.4145848999906,0.6547516999999061,21.126125799986767,5.355712500022491,29.972959000006085,4.996876099990914,10.940047700016294,5.5875488000165205,2.162064600008307,5.954196199978469
0.7,2070.4128610999906,15.096931499996572,7.353631599995424,0.3458955999958562,2.0547230999945896,2883.7958701000025,0.6033917999884579,19.2651267000183,4.944118999992497,27.805991800007178,4.620008300000336,10.169295300001977,5.037582699995255,2.0070876000099815,5.5272177000006195
0.75,2027.9571848999913,14.46225460000278,6.937069199993857,0.32084740001300815,1.9642364000028465,2584.390616699995,0.5622749000031035,18.338097600004403,4.5784310000017285,26.247532000008505,4.476654199999757,9.630487699992955,4.721701900009066,1.8915437000105157,5.117401499999687
0.8,1943.9405971000087,13.674063600003137,6.54413840000052,0.30933079999522306,1.8605614000116475,2505.047709699982,0.5344369999947958,17.24345879998873,4.473493400000734,25.178334600001108,4.325626200006809,9.133188600011636,4.523828599980334,1.7946487999870442,4.825938499998301
0.85,1840.6794725999935,13.10166339999705,6.254366799999843,0.2956121000024723,1.7733625999971991,2442.4094607000006,0.5114745000028051,16.864171299996087,4.191994900000282,23.450558799988357,4.029822299984517,9.020614599983674,4.33890549998614,1.7370532999921124,4.662045900011435
0.9,1800.6941966000013,12.82849489999353,6.099257099995157,0.28907290000643115,1.70223709999118,2337.0382904,0.49040860001696274,16.449291800003266,4.0342979000124615,23.00265730000683,4.0686533999978565,8.772589800006244,4.146057600009954,1.6855386999959592,4.530647100007627
