,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15
0.3e0.01c,0.4029,0.2727,0.0,0.2884,0.0,0.7765,0.4615,0.1803,0.4349,0.4868,0.4938,0.4679,0.0,0.2259,0.008
0.3e0.05c,0.3842,0.2019,0.0,0.1213,0.0,0.7731,0.5529,0.1588,0.4139,0.4355,0.418,0.4019,0.0,0.0438,0.0
